, Open, High, Low, Close
04/22/22, 4.6236, 4.8374, 4.6208, 4.7957
04/21/22, 4.6221, 4.6241, 4.6204, 4.6224
04/20/22, 4.6673, 4.6800, 4.6087, 4.6222
04/19/22, 4.6531, 4.6863, 4.6410, 4.6683
04/18/22, 4.7022, 4.7068, 4.6441, 4.6533
04/15/22, 4.7006, 4.7026, 4.6999, 4.7022
04/14/22, 4.6912, 4.7411, 4.6835, 4.7018
04/13/22, 4.6751, 4.7055, 4.6532, 4.6917
04/12/22, 4.6960, 4.6967, 4.6227, 4.6753
04/11/22, 4.6994, 4.7392, 4.6792, 4.6946
04/08/22, 4.7523, 4.7937, 4.6938, 4.6994
04/07/22, 4.7162, 4.7721, 4.6908, 4.7521
04/06/22, 4.6516, 4.7256, 4.6494, 4.7158
04/05/22, 4.5941, 4.6735, 4.5894, 4.6510
04/04/22, 4.6590, 4.6736, 4.5890, 4.5938
04/01/22, 4.7397, 4.7418, 4.6527, 4.6590
03/31/22, 4.7710, 4.7963, 4.7223, 4.7409
03/30/22, 4.7578, 4.7920, 4.7260, 4.7709
03/29/22, 4.7658, 4.7843, 4.7190, 4.7579
03/28/22, 4.7420, 4.8185, 4.7360, 4.7645
03/25/22, 4.8271, 4.8305, 4.7307, 4.7420
03/24/22, 4.8258, 4.8554, 4.7672, 4.8269
03/23/22, 4.9110, 4.9149, 4.8255, 4.8274
03/22/22, 4.9357, 4.9506, 4.9054, 4.9114
03/21/22, 5.0238, 5.0270, 4.9323, 4.9365
03/18/22, 5.0399, 5.0750, 4.9930, 5.0218
03/17/22, 5.0773, 5.1064, 5.0293, 5.0401
03/16/22, 5.1640, 5.1655, 5.0724, 5.0768
03/15/22, 5.1210, 5.1691, 5.0941, 5.1638
03/14/22, 5.0754, 5.1389, 5.0380, 5.1201
03/11/22, 5.0114, 5.0817, 4.9843, 5.0749
03/10/22, 5.0129, 5.0755, 5.0082, 5.0115
03/09/22, 5.0613, 5.0616, 4.9853, 5.0128
03/08/22, 5.1118, 5.1132, 5.0464, 5.0604
03/07/22, 5.0624, 5.1147, 5.0308, 5.1119
03/04/22, 5.0327, 5.1001, 5.0259, 5.0621
03/03/22, 5.1008, 5.1135, 5.0200, 5.0325
03/02/22, 5.1619, 5.2168, 5.0858, 5.1000
03/01/22, 5.1603, 5.1618, 5.1574, 5.1603
02/28/22, 5.1684, 5.1684, 5.1586, 5.1604
02/25/22, 5.1236, 5.1759, 5.0806, 5.1630
02/24/22, 5.0111, 5.1626, 5.0049, 5.1235
02/23/22, 5.0591, 5.0622, 4.9950, 5.0102
02/22/22, 5.1034, 5.1083, 5.0446, 5.0587
02/21/22, 5.1389, 5.1548, 5.0761, 5.1039
02/18/22, 5.1724, 5.1768, 5.1123, 5.1393
02/17/22, 5.1371, 5.1834, 5.1257, 5.1723
02/16/22, 5.1594, 5.1766, 5.1233, 5.1370
02/15/22, 5.2151, 5.2222, 5.1586, 5.1595
02/14/22, 5.2534, 5.2655, 5.1957, 5.2154
02/11/22, 5.2499, 5.2652, 5.1817, 5.2532
02/10/22, 5.2358, 5.2554, 5.1755, 5.2501
02/09/22, 5.2599, 5.2906, 5.2136, 5.2359
02/08/22, 5.2640, 5.2882, 5.2513, 5.2598
02/07/22, 5.3285, 5.3313, 5.2504, 5.2641
02/04/22, 5.2845, 5.3503, 5.2790, 5.3284
02/03/22, 5.2626, 5.3221, 5.2613, 5.2844
02/02/22, 5.2659, 5.3145, 5.2550, 5.2625
02/01/22, 5.3046, 5.3166, 5.2644, 5.2660
01/31/22, 5.3677, 5.3971, 5.2840, 5.3046
01/28/22, 5.4070, 5.4229, 5.3663, 5.3677
01/27/22, 5.4329, 5.4350, 5.3542, 5.4070
01/26/22, 5.4442, 5.4669, 5.3931, 5.4329
01/25/22, 5.4889, 5.5211, 5.4285, 5.4442
01/24/22, 5.4601, 5.5250, 5.4523, 5.4882
01/21/22, 5.4195, 5.4750, 5.4050, 5.4586
01/20/22, 5.4389, 5.4611, 5.3840, 5.4196
01/19/22, 5.5660, 5.5678, 5.4372, 5.4388
01/18/22, 5.5171, 5.5823, 5.5055, 5.5671
01/17/22, 5.5349, 5.5369, 5.4941, 5.5169
01/14/22, 5.5293, 5.5528, 5.5081, 5.5349
01/13/22, 5.5344, 5.5534, 5.5009, 5.5292
01/12/22, 5.5690, 5.6009, 5.5200, 5.5345
01/11/22, 5.6636, 5.6751, 5.5643, 5.5691
01/10/22, 5.6358, 5.6923, 5.6297, 5.6638
01/07/22, 5.6829, 5.7087, 5.6197, 5.6363
01/06/22, 5.7095, 5.7246, 5.6719, 5.6839
01/05/22, 5.6775, 5.7235, 5.6430, 5.7091
01/04/22, 5.6824, 5.7108, 5.6379, 5.6774
01/03/22, 5.5713, 5.6851, 5.5579, 5.6825
12/31/21, 5.5714, 5.5921, 5.5704, 5.5715
12/30/21, 5.7037, 5.7054, 5.5537, 5.5715
12/29/21, 5.6291, 5.7105, 5.6251, 5.7038
12/28/21, 5.6256, 5.6621, 5.6216, 5.6288
12/27/21, 5.6753, 5.7066, 5.6237, 5.6255
12/24/21, 5.6750, 5.6796, 5.6725, 5.6776
12/23/21, 5.6543, 5.7185, 5.6269, 5.6755
12/22/21, 5.7455, 5.7473, 5.6482, 5.6544
12/21/21, 5.7424, 5.7570, 5.7119, 5.7456
12/20/21, 5.6949, 5.7466, 5.6897, 5.7425
12/17/21, 5.6888, 5.7136, 5.6618, 5.6961
12/16/21, 5.6810, 5.7230, 5.6599, 5.6887
12/15/21, 5.6815, 5.7348, 5.6580, 5.6811
12/14/21, 5.6808, 5.6982, 5.6190, 5.6821
12/13/21, 5.6121, 5.6818, 5.6016, 5.6807
12/10/21, 5.5730, 5.6351, 5.5614, 5.6135
12/09/21, 5.5334, 5.5990, 5.5180, 5.5729
12/08/21, 5.6134, 5.6360, 5.5274, 5.5331
12/07/21, 5.6898, 5.6924, 5.6090, 5.6133
12/06/21, 5.6514, 5.7016, 5.6369, 5.6897
12/03/21, 5.6467, 5.6854, 5.6011, 5.6537
12/02/21, 5.6958, 5.6958, 5.6140, 5.6467
12/01/21, 5.6244, 5.6958, 5.5849, 5.6958
11/30/21, 5.6018, 5.6695, 5.5853, 5.6244
11/29/21, 5.5669, 5.6400, 5.5669, 5.6022
11/26/21, 5.5667, 5.6417, 5.5654, 5.6098
11/25/21, 5.6065, 5.6079, 5.5487, 5.5668
11/24/21, 5.5713, 5.6231, 5.5540, 5.6066
